,month,day,Date,Class,Lat,Lon,Max wind,Min pres,SST,UWND,VWND,rhum,airtemp,key,year,distance,direction,gridID
51,9,6,0, TD,19.7,61,30,1010,28.18,-5.630004883,2.069992065,87.95999146,304.0200195,              BERYL1982,1982,85.73763561,92.11789547,1646
52,9,6,600, TD,19.8,62.3,30,1010,28.109999,-4.5,0.929992676,88.02000427,304.7299805,              BERYL1982,1982,84.81945466,35.67818144,1647
53,9,6,1200, TD,20,63.6,25,1010,28.289999,-4.5,0.929992676,88.02000427,304.7299805,              BERYL1982,1982,85.5807878,34.10119256,1648
54,9,9,0, SD,26.2,91,25,1010,29.369999,-0.779998779,2.020004272,83.77999878,302.9100037,              CHRIS1982,1982,0,0,2537
55,9,9,600, SD,26.3,91.7,25,1010,29.25,-8.839996338,-4.320007324,81.05000305,302.3099976,              CHRIS1982,1982,43.92436893,156.9390619,2538
56,9,9,1200, SD,26.4,92.3,25,1009,29.369999,-8.839996338,-4.320007324,81.05000305,302.3099976,              CHRIS1982,1982,37.78578078,125.8445161,2538
57,9,9,1800, SD,26.6,93,30,1009,29.289999,-8.839996338,-4.320007324,81.05000305,302.3099976,              CHRIS1982,1982,45.43611011,9.671487067,2539
58,9,10,0, TD,26.8,93.1,30,1008,29.47,-3.419998169,1.75,84.27000427,301.9199829,              CHRIS1982,1982,15.13463129,358.2854475,2539
59,9,10,600, TD,26.9,94,30,1007,28.22,-4.050003052,-2.949996948,77.67999268,302.2799988,              CHRIS1982,1982,55.9085911,350.574139,2540
60,9,10,1200, TS,27.3,94.2,35,1005,27.97,-4.050003052,-2.949996948,77.67999268,302.2799988,              CHRIS1982,1982,30.25147331,352.059624,2663
61,9,10,1800, TS,27.9,94.1,45,1001,27.81,-4.050003052,-2.949996948,77.67999268,302.2799988,              CHRIS1982,1982,41.90579749,22.41211151,2663
62,9,11,0, TS,28.4,94.1,50,1000,28.289999,-0.180007935,3.619995117,79.05000305,306.7200012,              CHRIS1982,1982,34.54671087,180,2786
63,9,11,600, TS,29,94,50,997,28.109999,-5.229995728,3.690002441,84.27000427,305.6900024,              CHRIS1982,1982,41.89669905,174.8332165,2786
64,9,11,1200, TS,29.8,93.8,55,994,0,-5.229995728,3.690002441,84.27000427,305.6900024,              CHRIS1982,1982,56.57057691,179.4416027,2909
65,9,11,1800, TS,30.8,93.4,40,999,0,-3.479995728,8.580001831,92.13000488,304.3499756,              CHRIS1982,1982,73.09764171,299.7225048,3031
66,9,12,0, TD,31.8,93.2,30,1004,0,1.559997559,9.509994507,95.30000305,299.8900146,              CHRIS1982,1982,70.09500987,349.2949078,3154
67,9,12,600, TD,32.8,92.8,30,1006,0,1.559997559,9.509994507,95.30000305,299.8900146,              CHRIS1982,1982,72.93557029,346.0149079,3277
68,9,12,1200, TD,33.8,92.4,30,1008,0,-0.540008545,9.789993286,97.95999146,297.3699951,              CHRIS1982,1982,72.85229471,161.2101307,3399
69,9,12,1800, TD,34.8,91.8,25,1010,0,-0.540008545,9.789993286,97.95999146,297.3699951,              CHRIS1982,1982,77.11464042,120.8764149,3522
70,9,13,1200, TD,19.8,69.5,30,1010,28.289999,-6.380004883,5.190002441,81.63999939,298.4299927,              DEBBY1982,1982,0,0,1654
71,9,13,1800, TD,20.8,70.2,30,1009,29.099998,-6.380004883,5.190002441,81.63999939,298.4299927,              DEBBY1982,1982,82.65275536,340.7679873,1778
72,9,14,0, TD,21.5,71,30,1009,28.859999,-2.38999939,7.020004272,84.28999329,302.289978,              DEBBY1982,1982,70.68735683,304.7323788,1902
73,9,14,600, TD,22.4,71.8,30,1008,28.789999,-2.770004272,0.699996948,77.61999512,304.8200073,              DEBBY1982,1982,80.5926199,314.137272,2026
74,9,14,1200, TS,23.5,71.9,35,1006,29.26,-2.770004272,0.699996948,77.61999512,304.8200073,              DEBBY1982,1982,76.26859647,359.6299113,2149
75,9,14,1800, TS,24.6,71.8,55,1000,29.5,-4.479995728,0.449996948,77.53999329,301.4100037,              DEBBY1982,1982,76.26420199,312.1838214,2272
76,9,15,0, HU,25.6,71,65,993,28.529999,6.899993896,7.649993896,83.52000427,305.8999939,              DEBBY1982,1982,85.31880754,221.2317037,2394
77,9,15,600, HU,26.7,70.3,65,990,28.83,1.339996338,8.13999939,90.83000183,307.4400024,              DEBBY1982,1982,87.52809298,359.6507104,2516
78,9,15,1200, HU,27.8,69.6,75,980,28.74,1.339996338,8.13999939,90.83000183,307.4400024,              DEBBY1982,1982,87.32189046,38.46951241,2638
